"ID","FIXED_ACIDITY","VOLATILE_ACIDITY","CITRIC_ACID","RESIDUAL_SUGAR","CHLORIDES","FREE_SULFUR_DIOXIDE","TOTAL_SULFUR_DIOXIDE","DENSITY","PH","SULPHATES","ALCOHOL","QUALITY"
1223,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,"1"
1224,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,"1"
1225,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,"1"
1226,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,"1"
1227,6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,"0"
1228,6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,"1"
1229,6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,"0"
1230,6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,"0"
1231,6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,"0"
1232,6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,"1"
1233,6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,"1"
1234,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,"1"
1235,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,"1"
1236,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,"0"
1237,6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,"1"
1238,6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,"1"
1239,6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,"0"
1240,6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,"1"
1241,6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,"0"
1242,6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,"1"
1243,6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,"1"
1244,6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,"1"
1245,6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,"0"
1246,6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,"0"
1247,6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,"1"
1248,6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,"1"
1249,6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,"0"
1250,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,"0"
1251,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,"0"
1252,6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,"1"
1253,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,"1"
1254,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,"1"
1255,6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,"0"
1256,6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,"1"
1257,6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,"0"
1258,6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,"1"
1259,6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,"1"
1260,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,"1"
1261,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,"0"
1262,6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,"0"
1263,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,"0"
1264,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,"1"
1265,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,"1"
1266,6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,"0"
1267,6.3,0.36,0.28,2.5,0.035,18,73,0.98868,3.1,0.47,12.8,"1"
1268,6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,"0"
1269,6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,"1"
1270,6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,"1"
1271,6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,"1"
1272,6.3,0.37,0.37,1.5,0.024,12,76,0.98876,2.94,0.39,12.3,"1"
1273,6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,"1"
1274,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,"0"
1275,6.3,0.39,0.22,2.8,0.048,53,173,0.99304,3.24,0.45,9.8,"0"
1276,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,"0"
1277,6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,"0"
1278,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,"1"
1279,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,"1"
1280,6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,"1"
1281,6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,"0"
1282,6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,"1"
1283,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,"1"
1284,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,"1"
1285,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,"1"
1286,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,"1"
1287,6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,"1"
1288,6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,12.9,"1"
1289,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,"1"
1290,6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,"1"
1291,6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,"1"
1292,6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,"1"
1293,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,"0"
1294,6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,"1"
1295,6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,"0"
1296,6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,"1"
1297,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,"1"
1298,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,"1"
1299,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,"1"
1300,6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,"1"
1301,6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,"1"
1302,6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,"1"
1303,6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,"1"
1304,6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,"1"
1305,6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,"1"
1306,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,"1"
1307,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,"1"
1308,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,"1"
1309,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,"1"
1310,6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,"1"
1311,6.4,0.15,0.25,7.8,0.05,13,68,0.99394,3.16,0.4,9.9,"1"
1312,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,"0"
1313,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,"0"
1314,6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,"1"
1315,6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,"1"
1316,6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,"1"
1317,6.4,0.15,0.4,1.3,0.053,61,146,0.99112,3.17,0.68,11,"1"
1318,6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,"1"
1319,6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,"1"
1320,6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,"1"
1321,6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,"1"
1322,6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,"1"
1323,6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1,"1"
1324,6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,"1"
1325,6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,"0"
1326,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,"0"
1327,6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,"1"
1328,6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,"1"
1329,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,"1"
1330,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,"1"
1331,6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,"1"
1332,6.4,0.17,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,"1"
1333,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,"1"
1334,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,"1"
1335,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,"1"
1336,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,"1"
1337,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,"1"
1338,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,"1"
1339,6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,"1"
1340,6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,"1"
1341,6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,"1"
1342,6.4,0.18,0.28,17.05,0.047,53,139,0.99724,3.25,0.35,10.5,"1"
1343,6.4,0.18,0.31,1.6,0.049,36,127,0.9934,3.6,0.67,10.4,"1"
1344,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,"1"
1345,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,"1"
1346,6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,"1"
1347,6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,"0"
1348,6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,"1"
1349,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,"0"
1350,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,"0"
1351,6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,"1"
1352,6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,"1"
1353,6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,"1"
1354,6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,"1"
1355,6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,"0"
1356,6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,"1"
1357,6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,"0"
1358,6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,"1"
1359,6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,"1"
1360,6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,"1"
1361,6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,"0"
1362,6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,"0"
1363,6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,"0"
1364,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,"0"
1365,6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,"0"
1366,6.4,0.22,0.32,4.9,0.046,50,156,0.99316,3.38,0.55,11.2,"1"
1367,6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,"1"
1368,6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,"1"
1369,6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,"0"
1370,6.4,0.22,0.32,12,0.066,57,158,0.9992,3.6,0.43,9,"1"
1371,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,"1"
1372,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,"1"
1373,6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,"1"
1374,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,"1"
1375,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,"1"
1376,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,"1"
1377,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,"1"
1378,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,"1"
1379,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,"0"
1380,6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,"1"
1381,6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,"0"
1382,6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,"1"
1383,6.4,0.23,0.3,7.1,0.037,63,236,0.9952,3.06,0.34,9.2,"1"
1384,6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,"1"
1385,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,"1"
1386,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,"1"
1387,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,"1"
1388,6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,"0"
1389,6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,"0"
1390,6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3,"1"
1391,6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,"1"
1392,6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,"1"
1393,6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,"1"
1394,6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,"0"
1395,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,"0"
1396,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,"0"
1397,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,"0"
1398,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,"0"
1399,6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,"0"
1400,6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,"1"
1401,6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,"0"
1402,6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,"0"
1403,6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,"0"
1404,6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,"1"
1405,6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,"0"
1406,6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,"1"
1407,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,"1"
1408,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,"1"
1409,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,"1"
1410,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,"1"
1411,6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,"0"
1412,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,"1"
1413,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,"1"
1414,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,"1"
1415,6.4,0.25,0.32,0.9,0.034,40,114,0.99114,3.31,0.58,10.8,"1"
1416,6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,"1"
1417,6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,"1"
1418,6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,"1"
1419,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,"1"
1420,6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,"1"
1421,6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,"0"
1422,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,"0"
1423,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,"0"
1424,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,"0"
1425,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,"1"
1426,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,"1"
1427,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,"1"
1428,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,"1"
1429,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,"0"
1430,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,"0"
1431,6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,"0"
1432,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,"1"
1433,6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,"1"
1434,6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,"0"
1435,6.4,0.26,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,"1"
1436,6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,"0"
1437,6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,"0"
1438,6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,"1"
1439,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,"0"
1440,6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,"1"
1441,6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,"0"
1442,6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,"0"
1443,6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,"0"
1444,6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,"1"
1445,6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,"1"
1446,6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,"1"
1447,6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,"0"
1448,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,"0"
1449,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,"0"
1450,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,"1"
1451,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,"1"
1452,6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,"0"
1453,6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,"1"
1454,6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,"1"
1455,6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,"0"
1456,6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,"0"
1457,6.4,0.28,0.28,3,0.04,19,98,0.99216,3.25,0.47,11.1,"1"
1458,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,"1"
1459,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,"1"
1460,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,"0"
1461,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,"0"
1462,6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,"1"
1463,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,"0"
1464,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,"0"
1465,6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1,"0"
1466,6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,"1"
1467,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,"0"
1468,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,"0"
1469,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,"0"
1470,6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,"0"
1471,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,"1"
1472,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,"1"
1473,6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,"1"
1474,6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,"0"
1475,6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,"1"
1476,6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,"0"
1477,6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,"1"
1478,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,"0"
1479,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,"0"
1480,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,"0"
1481,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,"0"
1482,6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,"0"
1483,6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,"1"
1484,6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,"1"
1485,6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,"1"
1486,6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,"0"
1487,6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,"1"
1488,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,"0"
1489,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,"0"
1490,6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,"1"
1491,6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,"1"
1492,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,"0"
1493,6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,"1"
1494,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,"1"
1495,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,"1"
1496,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,"1"
1497,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,"1"
1498,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,"0"
1499,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,"0"
1500,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,"1"
1501,6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,"0"
1502,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,"1"
1503,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,"0"
1504,6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,"1"
1505,6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,"0"
1506,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,"0"
1507,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,"0"
1508,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,"1"
1509,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,"0"
1510,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,"0"
1511,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,"0"
1512,6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,"1"
1513,6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,"1"
